Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-166,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-169,2002,25.7,6,0,0,37,54,4,70,26,50,0,0,0,177,42,21,66.7,Matches
Emerson Palmieri,401,itITA,DF,West Ham,30-264,1994,21.4,5,0,0,22,13,0,61,19,29,0,0,0,82,15,18,45.5,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-120,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
Emil Krafth,288,seSWE,DF,Newcastle Utd,30-265,1994,3.2,0,0,0,3,1,0,1,2,2,0,0,0,17,5,5,50.0,Matches
Emile Smith Rowe,473,engENG,MF,Fulham,24-270,2000,20.3,2,0,0,17,12,4,13,10,17,0,0,0,64,6,16,27.3,Matches
Emiliano Martínez,326,arARG,GK,Aston Villa,32-234,1992,32.0,4,0,0,1,5,0,0,0,3,0,0,0,28,8,1,88.9,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-311,1997,10.7,2,0,0,5,4,1,1,9,15,0,0,0,55,20,14,58.8,Matches
Enes Ünal,523,trTUR,"FW,MF",Bournemouth,27-349,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
Enzo Fernández,180,arARG,MF,Chelsea,24-097,2001,27.8,7,0,0,45,44,1,100,11,29,0,0,0,134,13,27,32.5,Matches
Eric da Silva Moreira,467,deGER,"MF,DF",Nott'ham Forest,18-356,2006,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,N/a,Matches
Erling Haaland,221,noNOR,FW,Manchester City,24-277,2000,27.6,2,0,0,22,12,4,3,5,5,0,0,0,29,49,45,52.1,Matches
Ethan Nwaneri,380,engENG,"FW,MF",Arsenal,18-034,2007,9.1,1,0,0,7,5,6,51,2,7,0,0,0,33,3,7,30.0,Matches
Ethan Pinnock,411,jmJAM,DF,Brentford,31-330,1993,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4,Matches
