Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-290,1997,9.1,2,22,10,45.5,2.43,1.10,0.09,0.20,16.8,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
David Raya,422,esESP,GK,Arsenal,29-221,1995,34.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Dean Henderson,231,engENG,GK,Crystal Palace,28-043,1997,34.0,0,1,0,0.0,0.03,0.00,0.00,N/a,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Dean Huijsen,241,esESP,DF,Bournemouth,20-010,2005,22.8,2,17,2,11.8,0.74,0.09,0.12,1.00,12.3,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches
Declan Rice,429,engENG,MF,Arsenal,26-100,1999,28.6,2,41,10,24.4,1.43,0.35,0.05,0.20,19.7,2,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches
Dejan Kulusevski,290,seSWE,"MF,FW",Tottenham,24-364,2000,24.8,7,45,17,37.8,1.81,0.68,0.16,0.41,14.6,0,0,0,4.2,4.2,0.09,+2.8,+2.8,Matches
Destiny Udogie,520,itITA,DF,Tottenham,22-147,2002,19.4,0,5,1,20.0,0.26,0.05,0.00,0.00,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-040,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Diego Gómez,203,pyPAR,MF,Brighton,22-028,2003,4.8,0,5,0,0.0,1.04,0.00,0.00,N/a,21.5,2,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-037,1999,31.0,0,23,5,21.7,0.74,0.16,0.00,0.00,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
